,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
111,数据分析专家,25-50K,1-3年,本科,多准数据,杭州 西湖区 西溪,数据服务,A轮,20-99人,https://www.zhipin.com/job_detail/ac85f10c234aa8b51XFy3dW_GFQ~.html
112,数据分析师,5-10K,3-5年,大专,东正钢管,杭州  ,贸易/进出口,未融资,20-99人,https://www.zhipin.com/job_detail/afc4da5c0b20f96c1nd-2tW6E1c~.html
113,数据分析总监,50-80K,3-5年,硕士,多准数据,杭州 西湖区 西溪,数据服务,A轮,20-99人,https://www.zhipin.com/job_detail/c32c2a96361ce7da1HJ409q9EFI~.html
114,数据分析师,15-30K,3-5年,本科,中通云仓,杭州 余杭区 仓前,物流/仓储,未融资,100-499人,https://www.zhipin.com/job_detail/7afebee7fb7996d81XF439q8EVM~.html
115,数据分析,6-8K,3-5年,大专,杭州巨脉,杭州 西湖区 文三,电子商务,B轮,20-99人,https://www.zhipin.com/job_detail/627023ee76e0c53f1HBz0t28F1s~.html
116,商业数据分析师,8-9K,经验不限,硕士,大猷科技,杭州 拱墅区 古墩路,互联网,天使轮,20-99人,https://www.zhipin.com/job_detail/0a08fdc23bb99d111HZy2tS9EFI~.html
117,数据分析专家,30-40K,3-5年,硕士,蚂蚁金服,杭州 西湖区 西溪,互联网金融,C轮,10000人以上,https://www.zhipin.com/job_detail/f21d5135a7853a611XJ_3dy6E1Q~.html
118,数据分析师,30-60K,3-5年,本科,阿里巴巴集团,杭州 余杭区 仓前,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/46c5369cbd519be31XB93969FVc~.html
119,数据分析师,5-10K,经验不限,大专,七种美味科技,杭州 萧山区 北干,电子商务,B轮,500-999人,https://www.zhipin.com/job_detail/c4f0e5583ed2841a1HV-2Nm1GFQ~.html
120,商业智能BI数据分析产品高级开发工程师,25-50K,3-5年,本科,蚂蚁金服,杭州 西湖区 黄龙,互联网,C轮,10000人以上,https://www.zhipin.com/job_detail/92b6b8a6c1668df51HV53dy_FVo~.html
121,高级数据分析工程师（数据仓库工程师）,17-25K,5-10年,大专,城云科技,杭州 西湖区 黄龙,互联网,C轮,500-999人,https://www.zhipin.com/job_detail/250eba98b29caeb91XN72t-5FlY~.html
122,数据分析工程师,15-30K,5-10年,本科,吉利集团,杭州  ,汽车生产,已上市,10000人以上,https://www.zhipin.com/job_detail/7bf94616467cf8ea1HBz2tu8GVc~.html
123,数据分析师,7-9K,1年以内,本科,壹潘科技,杭州 滨江区 长河,互联网,未融资,20-99人,https://www.zhipin.com/job_detail/f0b0bf5c3c8257a71X170tu9E1A~.html
124,高级数据分析师,12-24K,3-5年,本科,大搜车,杭州  ,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/1fc07051de295e381nV60t-5E1I~.html
125,电商数据分析主管,9-16K,1年以内,本科,助创科技,杭州 西湖区 古墩路,电子商务,不需要融资,20-99人,https://www.zhipin.com/job_detail/4f77952f30d00fd91HV72dW8E1Q~.html
126,数据分析专家,20-35K,3-5年,硕士,橙鹰,杭州 余杭区 仓前,数据服务,不需要融资,100-499人,https://www.zhipin.com/job_detail/09d0d36808137f561nF53ty-GVY~.html
127,数据分析师,15-30K,1-3年,硕士,蚂蚁金服,杭州 西湖区 古荡,互联网,C轮,10000人以上,https://www.zhipin.com/job_detail/d344ee87ef145e9c1n173Ni9FFU~.html
128,BI数据分析师,30-60K,5-10年,本科,蚂蚁金服,杭州 西湖区 西溪,互联网,C轮,10000人以上,https://www.zhipin.com/job_detail/de73a2243b8845161HZ63t64GFI~.html
129,资深数据分析师/专家,30-50K,5-10年,本科,阿里巴巴集团,杭州  ,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/7fc1ee7e082a33551XZ92t29.html
130,高级数据分析,12-18K,3-5年,本科,格家网络,杭州 西湖区 古墩路,电子商务,B轮,500-999人,https://www.zhipin.com/job_detail/3cbb362486be5df61HR42tq_E1Q~.html
131,资深数据分析师,15-30K,3-5年,本科,浙江执御,杭州 拱墅区 万达广场,移动互联网,C轮,1000-9999人,https://www.zhipin.com/job_detail/aac7f6a047614d641nJy2di0EFE~.html
132,数据分析师,18-35K,1-3年,硕士,滴滴出行,杭州 西湖区 西溪,移动互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/9238c59ce86ae33c1XF42dq0FVA~.html
133,数据分析师,10-15K,3-5年,大专,找饭金融信息服务,杭州 西湖区 文三,互联网金融,天使轮,100-499人,https://www.zhipin.com/job_detail/c905f52b415d8bb41Hd92Ni6EFU~.html
134,数据分析,6-10K,1-3年,大专,爱唯,杭州  ,其他行业,未融资,1000-9999人,https://www.zhipin.com/job_detail/47f738cedc723e7c1nF53N66GVs~.html
135,数据分析师,20-25K,3-5年,硕士,支付宝,杭州 西湖区 西溪,移动互联网,B轮,10000人以上,https://www.zhipin.com/job_detail/1892f0caef2693a91HF40tW4FlU~.html
136,数据分析师,15-30K,1-3年,本科,橙鹰,杭州 余杭区 仓前,数据服务,不需要融资,100-499人,https://www.zhipin.com/job_detail/673ac3978ae01c341nx509W9E1s~.html
137,数据分析师,15-30K,3-5年,本科,浙江聚贸,杭州 西湖区 黄龙,电子商务,不需要融资,100-499人,https://www.zhipin.com/job_detail/d079c0292c34b2b70XN90t-5EA~~.html
138,数据分析师,20-30K,经验不限,本科,蚂蚁金服,杭州 西湖区 黄龙,互联网金融,C轮,10000人以上,https://www.zhipin.com/job_detail/76b9118e2550ac3b1XB72N26F1A~.html
139,数据分析专家,25-40K,3-5年,硕士,阿里巴巴集团,杭州 余杭区 仓前,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/50bcc4a7c766bb751XV60t29FVM~.html
