,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
138,数据分析专员,5k-7k,经验不限,大专,递四方,深圳 宝安区 福永,物流/仓储,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/40c6d2c1836d2e6f1HJ43dW7FFo~.html
148,亚马逊数据分析/市场调研,6k-11k,3-5年,大专,第一卫,深圳 龙华区 龙华,电子商务,未融资,500-999人,https://www.zhipin.com/job_detail/b3822ac3c62beade1HF8296-FFA~.html
114,中高级数据分析师,15k-30k,3-5年,本科,饭立得,深圳 南山区 科技园,计算机软件,A轮,100-499人,https://www.zhipin.com/job_detail/a56dd00cef5a41a91HZz0t60GFo~.html
219,运维管理专员-数据分析,9-13K,3-5年,本科,丰巢科技,深圳 南山区 南山中心,互联网,B轮,1000-9999人,https://www.zhipin.com/job_detail/27aa2e8d373196b01XFy2di_GFQ~.html
220,营收数据分析岗 （营收派件）,16-22K,5-10年,本科,丰巢科技,深圳 南山区 南山中心,互联网,B轮,1000-9999人,https://www.zhipin.com/job_detail/bc646835040530f01XF929u5EVI~.html
164,数据分析师,10k-15k,1-3年,本科,丰盛谷,深圳 南山区 后海,投资/融资,不需要融资,0-20人,https://www.zhipin.com/job_detail/6b40b669f594ae011HBz3ti4F1c~.html
38,数据分析专家,12k-20k,1-3年,本科,富龙小额贷款,深圳 龙岗区 坂田,互联网金融,不需要融资,100-499人,https://www.zhipin.com/job_detail/39690e1faa70913e1XJ63du1ElQ~.html
137,数据分析员,5k-10k,1年以内,本科,广东玫狮,深圳 龙华区 龙华,电子商务,未融资,20-99人,https://www.zhipin.com/job_detail/0246595fde9bad311X1-2t2_EFM~.html
112,数据分析员,5k-8k,1-3年,本科,国脉互联,深圳 南山区 西丽,咨询,未融资,100-499人,https://www.zhipin.com/job_detail/277fa897ab111e801HV539i_F1E~.html
132,市场数据分析顾问,5k-9k,经验不限,本科,海吉星马克,深圳 龙岗区 平湖,咨询,未融资,20-99人,https://www.zhipin.com/job_detail/e6c0fc3ab44acc381XZy09m9EFE~.html
77,数据分析师,6k-12k,1-3年,大专,海润天恒,深圳 宝安区 西乡,电子商务,未融资,20-99人,https://www.zhipin.com/job_detail/a2b400030faf04801Xx529i_FVI~.html
96,数据分析师,15k-25k,3-5年,本科,杭州观数科技,深圳 南山区 科技园,企业服务,A轮,20-99人,https://www.zhipin.com/job_detail/3700979c056b207f1HR709m4F1o~.html
