,0,1,2,3,4,5,6,7,8,9,10,11,12,13
53,5626182,深圳,珠海市卓轩科技有限公司,[],50-150人,"移动互联网,电子商务",A轮,南山区,本科,产品|需求|项目类,2019-05-07,数据分析师,12k-20k,1-3年
54,5822637,深圳,珠海市魅族科技有限公司,"['股票期权', '免费班车', '带薪年假', '年度旅游']",2000人以上,"移动互联网,硬件",A轮,南山区,本科,开发|测试|运维类,2019-05-07,数据分析师,10k-15k,1-3年
55,5845465,深圳,深圳闻善科技有限公司,"['扁平管理', '领导好', '技能培训']",50-150人,"移动互联网,硬件",不需要融资,福田区,本科,产品|需求|项目类,2019-05-06,数据分析师,15k-25k,5-10年
56,4210417,深圳,深圳数位传媒科技有限公司,"['大数据弄潮儿', '大牛云集', '高并发', '14薪起']",150-500人,"移动互联网,数据服务",B轮,南山区,本科,开发|测试|运维类,2019-05-09,数据分析师,25k-50k,5-10年
57,2428796,深圳,深圳白骑士大数据有限公司,"['专项奖金', '大数据', '反欺诈', '带薪年假']",50-150人,"企业服务,金融",A轮,南山区,本科,产品|需求|项目类,2019-05-05,数据分析师,8k-15k,1-3年
58,5768068,深圳,天津美维信息技术有限公司成都分公司,"['节日礼物', '岗位晋升', '管理规范', '美女多']",500-2000人,"移动互联网,电子商务",D轮及以上,宝安区,大专,产品|需求|项目类,2019-04-24,数据分析,10k-15k,1-3年
59,4757404,深圳,神策网络科技（北京）有限公司,"['节日礼物', '年底双薪', '股票期权', '带薪年假']",150-500人,数据服务,C轮,南山区,本科,产品|需求|项目类,2天前发布,数据分析师-深圳,15k-25k,3-5年
60,5827915,深圳,深圳乐信软件技术有限公司,"['年终分红', '绩效奖金', '专项奖金', '年底双薪']",2000人以上,移动互联网,上市公司,南山区,本科,金融类,2019-05-05,数据分析师 （桔子理财） (MJ000539),15k-30k,不限
61,5523119,深圳,深圳市一面网络技术有限公司,"['技能培训', '海归精英团队', 'Geek分享', '绩效奖金']",50-150人,"移动互联网,数据服务",A轮,南山区,本科,开发|测试|运维类,2019-05-09,数据分析师（数据资产方向）,10k-20k,1-3年
62,3062432,深圳,深圳市小泊科技有限公司,"['福利多多', '绩效奖金', '弹性工作', '扁平管理']",500-2000人,"移动互联网,生活服务",不需要融资,南山区,本科,产品|需求|项目类,3天前发布,数据分析/数据挖掘工程师,10k-20k,3-5年
63,5750498,深圳,腾讯科技（深圳）有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,"移动互联网 ,游戏",上市公司,南山区,本科,开发|测试|运维类,2019-05-09,18436-数据分析/挖掘高级工程师（深圳）,23k-46k,3-5年
64,5712156,深圳,平安科技（深圳）有限公司,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",2000人以上,金融,不需要融资,福田区,本科,开发|测试|运维类,00:00发布,11219N-(CW)资深数据分析师,15k-30k,5-10年
65,5463328,深圳,万翼科技有限公司,"['绩效奖金', '岗位晋升', '管理规范', '通讯津贴']",2000人以上,"生活服务,硬件",上市公司,南山区,本科,产品|需求|项目类,1天前发布,数据分析工程师,18k-30k,3-5年
66,5909068,深圳,深圳市加满分科技有限公司,"['年底双薪', '专项奖金', '定期体检', '带薪年假']",50-150人,"移动互联网,社交网络",不需要融资,南山区,本科,产品|需求|项目类,2天前发布,数据分析工程师,20k-30k,3-5年
67,2857336,深圳,深圳市和讯华谷信息技术有限公司,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",500-2000人,"移动互联网,数据服务",上市公司,南山区,本科,开发|测试|运维类,2019-05-08,高级数据分析师,20k-30k,3-5年
68,5763416,深圳,深圳远趣科技有限公司,[],50-150人,"移动互联网,数据服务",不需要融资,福田区,本科,产品|需求|项目类,1天前发布,数据分析经理,15k-30k,3-5年
69,5685524,深圳,德勤企业咨询（上海）有限公司,"['带薪年假', '年底双薪', '定期体检', '节日礼物']",2000人以上,金融,不需要融资,罗湖区,本科,开发|测试|运维类,2019-05-09,大数据分析师-Cloud- Consulting,15k-30k,5-10年
70,5654895,深圳,麒讯（深圳）电子有限公司,[],150-500人,"移动互联网,金融",不需要融资,南山区,本科,产品|需求|项目类,3天前发布,数据分析经理,30k-50k,1-3年
71,5916111,深圳,深圳市盛达瑞智能科技有限公司,"['绩效奖金', '带薪年假', '五险一金', '年终奖金']",150-500人,"移动互联网,区块链",不需要融资,南山区,本科,开发|测试|运维类,3天前发布,数据分析主管,15k-25k,3-5年
72,5228770,深圳,深圳世联行地产顾问股份有限公司,"['五险一金', '通讯津贴', '带薪年假', '年底双薪']",2000人以上,企业服务,上市公司,南山区,本科,产品|需求|项目类,3天前发布,数据分析专员,5k-10k,3-5年
73,5345877,深圳,微民保险代理有限公司,"['带薪年假', '交通补助', '通讯津贴', '定期体检']",150-500人,"金融,移动互联网",不需要融资,南山区,硕士,开发|测试|运维类,2019-05-06,数据分析工程师,15k-30k,3-5年
74,5610903,深圳,深圳市瑞宝麟财富投资管理有限公司,"['带薪年假', '节日礼物', '领导好', '弹性工作']",2000人以上,金融,不需要融资,南山区,本科,金融类,2019-05-09,数据分析经理,20k-35k,不限
75,5599213,深圳,珠海市卓轩科技有限公司,[],50-150人,"移动互联网,电子商务",A轮,南山区,硕士,开发|测试|运维类,2019-05-07,数据分析专家,20k-40k,3-5年
76,5523109,深圳,深圳市一面网络技术有限公司,"['技能培训', '海归精英团队', 'Geek分享', '绩效奖金']",50-150人,"移动互联网,数据服务",A轮,南山区,本科,开发|测试|运维类,2019-05-09,数据分析师（汽车行业）,8k-15k,不限
