,0,1,2,3,4,5,6,7,8,9,10,11,12,13
94,5921220,杭州,浙江顺联网络科技有限公司,"['年终分红', '绩效奖金', '定期体检', '年底双薪']",150-500人,"移动互联网,电子商务",不需要融资,滨江区,本科,综合职能|高级管理,16:48发布,财务数据分析师,10k-20k,3-5年
95,5872230,杭州,浙江零跑科技有限公司,"['补充年休假', '弹性工作', '年度旅游', '扁平管理']",500-2000人,其他,A轮,滨江区,本科,开发|测试|运维类,2019-05-10,数据分析师(J10135),10k-20k,1-3年
96,5927901,杭州,北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",2000人以上,"移动互联网,数据服务",C轮,滨江区,本科,产品|需求|项目类,1天前发布,数据分析经理,15k-25k,不限
97,5450740,杭州,浙江盘石信息技术股份有限公司,"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",2000人以上,"移动互联网,广告营销",上市公司,拱墅区,大专,金融类,2019-04-28,数据分析经理（贷后）,14k-18k,3-5年
98,4897295,杭州,杭州贝购科技有限公司,"['生日趴', '每月腐败基金', '每月补贴', '年度旅游']",500-2000人,电子商务,D轮及以上,江干区,本科,开发|测试|运维类,2天前发布,资深数据分析师/数据分析专家,20k-35k,3-5年
99,4495630,杭州,众安在线财产保险股份有限公司,"['定期体检', '每天下午茶', '六险一金', '年度体检']",2000人以上,金融,上市公司,西湖区,本科,产品|需求|项目类,2019-04-24,数据分析师,15k-30k,3-5年
100,4394803,杭州,尼尔森网联媒介数据服务有限公司,[],150-500人,数据服务,不需要融资,上城区,本科,开发|测试|运维类,09:37发布,数据分析师,4k-7k,1-3年
101,5098710,杭州,杭州瑞勤数据技术有限公司,[],15-50人,"金融,数据服务",未融资,滨江区,本科,开发|测试|运维类,2天前发布,数据分析师,8k-16k,应届毕业生
102,5625675,杭州,深圳市家德固建材有限公司,[],150-500人,移动互联网,不需要融资,西湖区,本科,开发|测试|运维类,2019-05-07,数据分析师,15k-30k,3-5年
103,2283430,杭州,杭州兑吧网络科技有限公司,"['包午餐晚餐', '奖金多多多', '零食下午茶', '全员出国游']",500-2000人,移动互联网,上市公司,西湖区,本科,开发|测试|运维类,1天前发布,数据分析专家,15k-25k,3-5年
104,5272500,杭州,微医集团（浙江）有限公司,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",500-2000人,"移动互联网,医疗健康",C轮,萧山区,本科,综合职能|高级管理,3天前发布,数据分析专家 - 经分,18k-25k,5-10年
105,5578283,杭州,杭州市民卡有限公司,"['技能培训', '带薪年假', '岗位晋升', '管理规范']",150-500人,"移动互联网,生活服务",不需要融资,上城区,本科,产品|需求|项目类,2天前发布,数据分析工程师-数据建模,20k-25k,1-3年
106,5688372,杭州,浙江盘石信息技术股份有限公司,"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",2000人以上,"移动互联网,广告营销",上市公司,拱墅区,本科,产品|需求|项目类,2019-04-22,数据分析岗,6k-10k,1-3年
107,5098659,杭州,杭州瑞勤数据技术有限公司,[],15-50人,"金融,数据服务",未融资,滨江区,本科,产品|需求|项目类,2天前发布,数据分析师,8k-16k,不限
108,5600220,杭州,浙江执御信息技术有限公司,"['交通补助', '通讯津贴', '年度旅游', '年终奖']",2000人以上,"移动互联网,数据服务",C轮,拱墅区,硕士,市场|商务类,2019-04-22,数据分析专家/高级专家,20k-40k,5-10年
109,5003939,杭州,杭州中弈信息科技有限公司,"['节日礼物', '专项奖金', '带薪年假', '扁平管理']",15-50人,"移动互联网,电子商务",未融资,滨江区,不限,综合职能|高级管理,2天前发布,数据分析实习生,1k-2k,应届毕业生
110,5824200,杭州,江苏车置宝信息科技股份有限公司,[],2000人以上,"电子商务,移动互联网",D轮及以上,西湖区,本科,产品|需求|项目类,2019-05-08,资深数据分析,20k-40k,3-5年
111,5896432,杭州,网易（杭州）有限公司,"['节日礼物', '技能培训', '免费班车', '带薪年假']",2000人以上,"电子商务,移动互联网",上市公司,滨江区,本科,开发|测试|运维类,2019-05-06,数据分析经理,20k-35k,5-10年
112,4138783,杭州,杭州兑吧网络科技有限公司,"['包午餐晚餐', '奖金多多多', '零食下午茶', '全员出国游']",500-2000人,移动互联网,上市公司,西湖区,本科,开发|测试|运维类,1天前发布,高级数据分析师,8k-16k,1-3年
113,5874679,杭州,杭州鸿星电子有限公司,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']",500-2000人,硬件,不需要融资,余杭区,大专,销售类,1天前发布,数据分析助理,4k-6k,应届毕业生
114,5023468,杭州,杭州贝购科技有限公司,"['生日趴', '每月腐败基金', '每月补贴', '年度旅游']",500-2000人,电子商务,D轮及以上,江干区,本科,开发|测试|运维类,3天前发布,资深数据分析师,20k-35k,3-5年
115,5686113,杭州,微贷（杭州）金融信息服务有限公司,"['绩效奖金', '岗位晋升', '年度旅游', '定期体检']",2000人以上,金融,上市公司,滨江区,本科,市场|商务类,2019-05-09,数据分析专员,5k-8k,1-3年
116,5683671,杭州,杭州玳数科技有限公司,"['股票期权', '弹性工作', '领导好', '五险一金']",150-500人,数据服务,A轮,西湖区,本科,开发|测试|运维类,15:09发布,数据分析实习生 (MJ000087),3k-4k,应届毕业生
117,5453691,杭州,杭州观数信息科技有限公司,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']",50-150人,"企业服务,数据服务",A轮,余杭区,本科,开发|测试|运维类,09:26发布,数据分析实习生,3k-5k,应届毕业生
118,2836110,杭州,杭州国誉信睿企业管理咨询有限公司,"['带薪年假', '技能培训', '扁平管理', '管理规范']",15-50人,企业服务,未融资,滨江区,本科,开发|测试|运维类,2019-05-02,数据分析师,10k-20k,3-5年
119,5848281,杭州,杭州明白网络科技有限公司,[],15-50人,数据服务,天使轮,余杭区,本科,市场|商务类,2019-04-22,商业化数据分析师,10k-18k,3-5年
120,5901082,杭州,观澜网络（杭州）有限公司,"['扁平管理', '弹性工作', '期权']",500-2000人,"医疗健康,企业服务",D轮及以上,滨江区,不限,开发|测试|运维类,3天前发布,药学数据分析师（Insight）,8k-16k,不限
121,5666280,杭州,网易（杭州）有限公司,"['节日礼物', '技能培训', '免费班车', '带薪年假']",2000人以上,"电子商务,移动互联网",上市公司,滨江区,本科,开发|测试|运维类,3天前发布,资深数据分析师,25k-35k,5-10年
122,5815848,杭州,杭州安厨电子商务有限公司,"['岗位晋升', '美女多', '帅哥多', '领导好']",150-500人,电子商务,不需要融资,滨江区,本科,产品|需求|项目类,2天前发布,高级数据分析师,20k-30k,3-5年
